example	c	go	sh	python	rust	zig	java	estree
parse-invalid-redirect.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
parse-longoption-with-dollar.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	FAIL
parse-multi-command-while-condition.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
parse-parameter-expansion-eof.sh	EQUIV	EQUIV	EQUIV	STUB	EQUIV	EQUIV	EQUIV	PASS
parse-paren-after-do.sh	EQUIV	EQUIV	EQUIV	STUB	EQUIV	EQUIV	EQUIV	PASS
parse-paren-close.sh	EQUIV	PASS	EQUIV	STUB	STUB	STUB	STUB	PASS
parse-redirect-clobber.sh	PASS	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
parse-redirect-in-case-pattern.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
parse-samefile-operator.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
parse-substring-double-colon.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
parse-test-semicolon.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
parse-unexpected-braceclose.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
parse-unexpected-end-of-input.sh	EQUIV	EQUIV	EQUIV	STUB	EQUIV	EQUIV	EQUIV	PASS
parse-unexpected-parenclose.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
parse-unterminated-heredoc.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
parse-variable-default-with-quotes.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
process-substitution.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	PASS
question-in-singlequote.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
question-param-expand.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
qx-var-builtin-cd.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	PASS
readonly-cmdsub.sh	EQUIV	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
realpath-cmdsub.sh	EQUIV	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
redirect-in-arithmetic.sh	EQUIV	EQUIV	STUB	STUB	STUB	STUB	STUB	PASS
t03_pipeline.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	
t61_while_read.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	
t62_word_split.sh	EQUIV	STUB	PASS	STUB	STUB	STUB	STUB	
t63_array_split.sh	EQUIV	STUB	PASS	STUB	STUB	STUB	STUB	
t66_array_slice.sh	EQUIV	EQUIV	PASS	STUB	STUB	STUB	STUB	
t75_arith_compound.sh	PASS	STUB	EQUIV	STUB	STUB	STUB	STUB	
tty-cmdsub.sh	EQUIV	STUB	EQUIV	STUB	STUB	STUB	STUB	PASS
typeset-cmdsub.sh	EQUIV	EQUIV	EQUIV	STUB	STUB	STUB	STUB	PASS
utf8-non-utf8-content.sh	STUB	STUB	STUB	STUB	STUB	STUB	STUB	PASS
